                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2835,                 1.0856,                 1.0949,                0.64061,                0.61386,                0.62969,                0.35373,                 1.5293,                 1.3303,                 1.2499,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2455,                 1.1057,                 1.1037,                0.63837,                0.64356,                0.66076,                0.37056,                 1.5196,                 1.2826,                 1.2556,               0.000614,               0.000614,               0.000614
                     37,                  1.253,                 1.0727,                 1.1175,                0.65424,                0.64851,                0.67497,                0.37853,                 1.5246,                 1.2681,                 1.2559,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1306,                  1.055,                 1.0861,                0.69619,                0.58991,                0.66273,                0.37113,                 1.5272,                 1.2684,                 1.2596,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1712,                0.98356,                 1.0553,                0.67715,                0.56931,                0.64804,                0.36032,                 1.5299,                  1.302,                 1.2547,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2334,                0.99761,                 1.0954,                0.66071,                0.58807,                0.65363,                0.36735,                 1.5314,                 1.3484,                 1.2549,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2389,                  1.316,                 1.1047,                 0.5926,                0.62871,                0.65533,                0.36462,                 1.5524,                 1.3374,                 1.2712,               0.000416,               0.000416,               0.000416
                     42,                 1.2667,                 1.0819,                 1.0655,                0.62631,                0.57426,                0.64635,                0.37202,                 1.5595,                    1.3,                 1.2774,              0.0003764,              0.0003764,              0.0003764
                     43,                   1.23,                 1.0649,                 1.0919,                0.60843,                0.59406,                 0.6441,                0.36786,                 1.5602,                 1.3346,                 1.2762,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.159,                 1.0335,                 1.1751,                0.62453,                0.59901,                0.63749,                0.36001,                 1.5613,                  1.359,                 1.2837,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2092,                 1.0366,                 1.1181,                0.70212,                0.57921,                0.63973,                0.36401,                 1.5583,                 1.3451,                   1.28,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1504,                 0.9924,                 1.0903,                0.70789,                0.56436,                0.64259,                 0.3675,                 1.5611,                 1.3138,                 1.2734,               0.000218,               0.000218,               0.000218
                     47,                 1.2356,                0.98757,                 1.0725,                0.64609,                0.58744,                0.64917,                0.36574,                 1.5533,                 1.2945,                 1.2748,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2793,                0.97834,                 1.1362,                0.62824,                0.63861,                0.65234,                0.37088,                 1.5561,                 1.3034,                 1.2748,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2113,                 1.0585,                   1.07,                0.61613,                0.64356,                0.65396,                0.37038,                 1.5569,                 1.3009,                 1.2755,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0472,                 1.0009,                  1.052,                0.61433,                0.64851,                0.65823,                0.37311,                 1.5495,                 1.2857,                 1.2662,               5.96e-05,               5.96e-05,               5.96e-05
